"bearer","total_share"
"a00c880e4b7b6bda56d2a8bc27d69159f2b2c76df12e95cd6df3a4dc11c6b30a","43"
"a00ea32b2352c0a47c3eba11892aac31bc9634d503d540ec33da18062fece19e","43"
"a005ed2b561fd1f6ffcdc66feca7234cd3ef0bc82770c04bfb5882d40450a1c0","43"
"a008b9ddc7ca4c8943ae001c25404ddc61140c0b170191724365a99ff21c92ff","42"
"a00ecc49dce7a33f0bbb638d8fc987e7995cef53569c0006b4d4975e58e21ce4","42"
"a00c37fc0cdb96585c5ef2f2f52128ea72d134faac0fce3af365346187b1dabb","41"
"a00194cc04845982e38586e4c4a6251a6804c05e01ff405ce8e95328c5419179","41"
"a00b4b1191394c163b65a4ff8e2269b14c825b03818999b3487be7623ba2c86c","41"
"a00baf999df9698a0d51453ae7f2bf010ce5706b8d4241605476b76bfc6cd5e1","40"
"a00c9b11b875a377848b059352557e2dc8e517004aedfd85e406494153ecca04","40"
"a00d91249ceb8c459cfd963f8795f87731064fd2c50939e604b5d74fd3b7e860","38"
"a007b6bd9b3ef06cdb5b7324720805afa06d1351473d0dab7f20d1e9eebdcfc9","38"
"a00c31ecb976ff79bda1ce5861c5ac0fd649b7e83757b998e51778e7b5e850fb","38"
"a003d1639797c1a34109f029c548af7eaa418adcc275211832c5659f094df404","37"
"a0064da25057e89f6e12e218e2ad1c69dc4e0aba73f1eead08766217b373f00e","37"
"a00b0d2150bc9e3797f82ce420a77f9758495b16dd72efb544478b2f214be076","37"
"a00ce5e12672f3e7249959b3475e272abf38a7f2d8b9f9114eab02b6aef07622","37"
"a0055b2db6b8d2cb9d473c52d4142cdae48cff3675fb8fde8037ea2069370d29","37"
"a0066b751654985f51be6622671dc833f08d9c1fbca77570547ea599cd1907d5","37"
"a0070828f837e3b01666280c2af8d2c1c1f253ed232a1d58795d6e4db538a4f9","37"
"a007e39cfda90394ea49211d6dade4293101f1d7cc75d9643b35a97ac09aef43","37"
"a002bb1c13668fc53af4f71da1f879ad806c89758d89ecbc177d0936535c1434","36"
"a00f3d8a169d6f4c46f54e11a803e033bd4be848e0318134fe1199432d201dcf","36"
"a002b9df2d1004e557b8cd23428185fe4b5c06894496a220e14ebe53c9389668","35"
"a00cfac48f62afcc2bbcba2600a56c6df2cc8be2cedce90f79d74d2f9ab0250a","34"
"a000b4f54627f758151814cf2558a456b9a7eca6b835173580b5d1f6530eb42d","34"
"a003dc0d5c6e07ecada3399a83e30bcb0158c301375b5c77f0fe4395d73af90a","34"
"a00592ac33ebb555ff07644531fb4d2eab521f3ded7f60eb643e7c68d500d866","34"
"a00cfd2b75feffb4f908e5231d20fd2f63cc40b773360e66cdb6f70a9f731b64","34"
"a00c2923b42516d1e73b18b0e6690203a136785c5485f80550d98875c2935515","33"
"a008923e33cc70a8c02d7220cb8d98e10c97b01dd8c13a2948812170a844da55","33"
"a00a80b7ff31c33a71374b334eca9988e4198c35594e6413bf26fcba70d87b16","33"
"a003a65145ed3f7bce10cc3bc3af89db4a88d999e64947754762abc510f4ac4e","33"
"a00a76477f268a5f9c225196c704194ec3bc9c4841e049e866c9fd2905bb2bc3","32"
"a00be1df64fa3968c3d1855ea6ab0b1935746f59eadebae2cb9f8a144550fc4f","32"
"a00415145f0aad28e3e48a15315043ee64404168c82065f975a0690c4735dbb6","32"
"a002b4d88e80cc632f2b152e0d936fdcb0de8c8f973809dff83b4963dc721512","31"
"a009eb40c31c8fa22429c228728cb3a93e1c507bcbc4bb63f9a3fa2ccfba6c9a","31"
"a0079ca656e7b22203ffe20e813ae123db14f8777a65fde19d2e04a9f2c54ea9","31"
"a003f660629340f1038596438d8884fe32912081d8d150161a1227d21fdd6317","31"
"a0073e545cedba14548bb47151cfca9b7d96e72523ba6d550880d9fd53d75dc3","30"
"a0040085bcf0b19cf8b5905d2e9d779f9413d625c356919748a3289e4f56793f","30"
"a00b57ba7eb1da1e781bbf920c5aae3bc119a85b23b5c999bc4314dd8ecf2f8c","30"
"a00d7f92cb96cbbf2f87d8427a7bb33bc05ed0cad2f27544c415241a272e5642","30"
"a003b62d0ff1768486bf1c145d76198a6fbbbc1a97cd77f589b36a9bf736eeba","30"
"a0002f5c5a686e24d4ada17e8bc809d8806c90145a41716dd20595e4cbe041c0","30"
"a005c46ceb1a3c91957592b2dc744a5480c65ff694c93bf950e37f0a6eb64731","30"
"a0005a1f88ea319b540a8af960f6884794a65f2ea53350e88e048f6d8188242a","29"
"a00a4b7c4337b3b6dc2b9a9f9110555bb18ea6b805a284cee32675da96314c66","29"
"a005996c2d78eb28a25ce8d59d77e6a0168292c287d7353ce404b4622b9bbf0f","29"
"a007be03676631905b559e1d12cca323b7ad6c4f3f44420b39d64da8c547a18f","28"
"a00a5ec365446c109f5b997c240cd957a198f1fb4fed1a978f87eef13b664468","28"
"a00c7673fd30c424197d8ebf6d9df3cb4ce2bbd0e304adf65e3e4cbaee953b83","28"
"a006e4c240e8de76d7835b1641361c8a1fcb453c6018530077695e98b0958502","28"
"a006d329d1e8cab4e26a89773e3ba34b710be4233760003cb8658f8f0b23637f","28"
"a004e30a9a38a853fd6e7e29230016b4c245fc46ec975563a26f0906c6778c72","28"
"a00fe9dfc7b8e06906da6bc3ec2e20442a68dade52acc30227a3c6458a9f99df","28"
"a0085c1173c87f1eb0064b8f227c34ad3e514683d7ca51daaf5834a639e4c84e","27"
"a00f42ce97ea4bb30165347c39e07384d6138cc18ea4d4265eec1124c4b52782","27"
"a00c8ba5fcdbac859481a53a11e789c4056aca76a2fdbcfc3282dc4fe66f2005","27"
"a00964a0e65753668c24731ee0a5a381b9fcb57440230fb162f77fbc955b1712","27"
"a006507d1e4bda3b2c419ba3bb7f8703bb24278a5bec06dbc9dbdefd1f287e15","27"
"a000aa2944ee15758ce105ec5857f613bd76b25b76fcff8adda5c9628b5b6496","27"
"a007b18238050e9122c0eb0a7c40ae6cde5a15dde143d03cac75cd394e5c0b47","27"
"a001040a8248fd853b9aaa8de53f7eb29144dd332ca1c66f545e98c63d169aca","27"
"a00d235ac0687dfe70d19754c41afc2960e3b192433a8a885cf8aeab344790cc","27"
"a004b926b1088d492e788028b94f95aa115a63f0d405e1761efa1d7184c0341b","26"
"a00fd192d57e1511efda6688b0075095a5048bb7ea58b7e9f0b469e818cd593a","26"
"a00ce75c0290d98f7cc099bb89f95f2ff8eeb8ae61456575ed8135150799fe37","26"
"a00a3842b105bc7fcc76de08a82978880e405e91097d9fdda2e66dec60f1c79b","26"
"a0075031ab6b41877e1cd3d48fa5edf86d02a243641734b8028dd51a0b44115e","26"
